eFG%,"FTA
Rate ",TOV%,OREB%,"Opp
eFG% ","Opp
FTA Rate ","Opp
TOV% ","Opp
OREB% "
58,0.31,18,32,58,0.31,18,32
48,0.18,10,20,48,0.18,10,20
56.3,0.244,14.2,28.4,50.7,0.207,11.5,24.3
52.1,0.252,14.5,24,55.5,0.256,14.4,27.7
52.4,0.242,13.3,26.4,50.9,0.257,13.1,26.2
