Houston Rockets,James Harden,2191
Houston Rockets,P.J. Tucker,502
Houston Rockets,Trevor Ariza,782
Houston Rockets,Eric Gordon,1243
Houston Rockets,Clint Capela,1026
Houston Rockets,Chris Paul,1081
Houston Rockets,Ryan Anderson,617
Houston Rockets,Luc Mbah a Moute,460
Houston Rockets,Gerald Green,497
Houston Rockets,Nenê,340
Houston Rockets,Tarik Black,180
Houston Rockets,Joe Johnson,139
Houston Rockets,Zhou Qi,22
Houston Rockets,Briante Weber,26
Houston Rockets,Bobby Brown,50
Houston Rockets,Demetrius Jackson,8
Houston Rockets,R.J. Hunter,19
Houston Rockets,Aaron Jackson,8
Houston Rockets,Markel Brown,5
Houston Rockets,Chinanu Onuaku,4
Houston Rockets,Troy Williams,5
Houston Rockets,Brandan Wright,4
Houston Rockets,Tim Quarterman,4
Houston Rockets,Isaiah Canaan,0
New Orleans Pelicans,Jrue Holiday,1537
New Orleans Pelicans,Anthony Davis,2110
New Orleans Pelicans,E'Twaun Moore,1022
New Orleans Pelicans,Darius Miller,637
New Orleans Pelicans,DeMarcus Cousins,1210
New Orleans Pelicans,Rajon Rondo,537
New Orleans Pelicans,Ian Clark,551
New Orleans Pelicans,Dante Cunningham,253
New Orleans Pelicans,Jameer Nelson,221
New Orleans Pelicans,Nikola Mirotić,439
New Orleans Pelicans,Cheick Diallo,254
New Orleans Pelicans,Emeka Okafor,114
New Orleans Pelicans,Tony Allen,103
New Orleans Pelicans,DeAndre Liggins,44
New Orleans Pelicans,Solomon Hill,29
New Orleans Pelicans,Ömer Aşık,18
New Orleans Pelicans,Larry Drew II,15
New Orleans Pelicans,Jordan Crawford,33
New Orleans Pelicans,Charles Cooke,6
New Orleans Pelicans,Walt Lemon Jr.,17
New Orleans Pelicans,Jalen Jones,5
New Orleans Pelicans,Mike James,4
New Orleans Pelicans,Josh Smith,2
Cleveland Cavaliers,LeBron James,2251
Cleveland Cavaliers,J.R. Smith,662
Cleveland Cavaliers,Jeff Green,846
Cleveland Cavaliers,Kevin Love,1039
Cleveland Cavaliers,Kyle Korver,672
Cleveland Cavaliers,Jae Crowder,454
Cleveland Cavaliers,Tristan Thompson,307
Cleveland Cavaliers,Dwyane Wade,513
Cleveland Cavaliers,José Calderón,255
Cleveland Cavaliers,Cedi Osman,238
Cleveland Cavaliers,George Hill,226
Cleveland Cavaliers,Jordan Clarkson,353
Cleveland Cavaliers,Channing Frye,212
Cleveland Cavaliers,Rodney Hood,227
Cleveland Cavaliers,Larry Nance Jr.,213
Cleveland Cavaliers,Isaiah Thomas,221
Cleveland Cavaliers,Derrick Rose,157
Cleveland Cavaliers,Iman Shumpert,62
Cleveland Cavaliers,Ante Žižić,119
Cleveland Cavaliers,John Holland,54
Cleveland Cavaliers,London Perrantes,7
Cleveland Cavaliers,Kendrick Perkins,3
Portland Trailblazers,CJ McCollum,1732
Portland Trailblazers,Damian Lillard,1962
Portland Trailblazers,Jusuf Nurkić,1132
Portland Trailblazers,Al-Farouq Aminu,644
Portland Trailblazers,Evan Turner,649
Portland Trailblazers,Shabazz Napier,644
Portland Trailblazers,Pat Connaughton,441
Portland Trailblazers,Ed Davis,414
Portland Trailblazers,Maurice Harkless,385
Portland Trailblazers,Zach Collins,292
Portland Trailblazers,Noah Vonleh,119
Portland Trailblazers,Meyers Leonard,112
Portland Trailblazers,Caleb Swanigan,61
Portland Trailblazers,Jake Layman,34
Portland Trailblazers,Wade Baldwin,38
Portland Trailblazers,Georgios Papagiannis,2
Milwaukee Bucks,Khris Middleton,1652
Milwaukee Bucks,Giannis Antetokounmpo,2014
Milwaukee Bucks,Eric Bledsoe,1266
Milwaukee Bucks,Tony Snell,516
Milwaukee Bucks,John Henson,665
Milwaukee Bucks,Malcolm Brogdon,625
Milwaukee Bucks,Thon Maker,356
Milwaukee Bucks,Jason Terry,166
Milwaukee Bucks,Sterling Brown,217
Milwaukee Bucks,Jabari Parker,391
Milwaukee Bucks,Matthew Dellavedova,164
Milwaukee Bucks,DeAndre Liggins,57
Milwaukee Bucks,Tyler Zeller,141
Milwaukee Bucks,Sean Kilpatrick,93
Milwaukee Bucks,Brandon Jennings,73
Milwaukee Bucks,Rashad Vaughn,59
Milwaukee Bucks,Mirza Teletović,71
Milwaukee Bucks,Shabazz Muhammad,94
Milwaukee Bucks,Gary Payton II,30
Milwaukee Bucks,Greg Monroe,34
Milwaukee Bucks,D.J. Wilson,21
Milwaukee Bucks,Marshall Plumlee,14
Milwaukee Bucks,Joel Bolomboy,9
Milwaukee Bucks,Xavier Munford,3
